frame,face_detected,label,confidence,p0,p1,p2,p3,p4,p5,p6,p7
0,1,0,0.682852,0.68285246,0.00134753,0.26354611,0.00694861,0.00366372,0.00331895,0.02482496,0.01349766
1,1,0,0.674325,0.67432538,0.00185200,0.26680534,0.00804483,0.00386091,0.00374555,0.02483106,0.01653494
2,1,0,0.681514,0.68151428,0.00200167,0.26282867,0.00715667,0.00342304,0.00382213,0.02274653,0.01650702
3,1,0,0.598986,0.59898606,0.00273240,0.34078422,0.00739759,0.00371680,0.00493415,0.02271932,0.01872947
4,1,0,0.529953,0.52995340,0.00284558,0.40890112,0.00803191,0.00423163,0.00553409,0.02266115,0.01784114
5,1,0,0.489837,0.45243503,0.00254048,0.48983657,0.00731394,0.00408150,0.00570685,0.02210009,0.01598553
6,1,2,0.557551,0.38723626,0.00227571,0.55755140,0.00677001,0.00406895,0.00550852,0.02184573,0.01474343
7,1,2,0.524659,0.41321894,0.00275733,0.52465857,0.00852398,0.00461823,0.00606501,0.02377927,0.01637867
8,1,2,0.521451,0.41356193,0.00281127,0.52145079,0.00923362,0.00492616,0.00624665,0.02507473,0.01669485
9,1,2,0.529279,0.40525671,0.00258658,0.52927895,0.00844140,0.00444939,0.00599074,0.02779024,0.01620599
10,1,2,0.486037,0.44094783,0.00316455,0.48603729,0.00927256,0.00454693,0.00626990,0.03082741,0.01893352
11,1,2,0.512298,0.41739123,0.00282203,0.51229784,0.00831424,0.00428913,0.00605225,0.03162319,0.01721010
12,1,2,0.472429,0.45291840,0.00325709,0.47242911,0.00823413,0.00419992,0.00611555,0.03107437,0.02177142
13,1,2,0.474815,0.47481523,0.00316730,0.44599297,0.00923434,0.00479489,0.00640104,0.03265149,0.02294274
14,1,0,0.536729,0.53672852,0.00327474,0.38237888,0.01042965,0.00470530,0.00610690,0.03198785,0.02438815
15,1,0,0.589311,0.58931132,0.00380760,0.32712958,0.01283706,0.00461523,0.00586948,0.02938408,0.02704566
16,1,0,0.610755,0.61075531,0.00385727,0.30612279,0.01424296,0.00471562,0.00552873,0.02795307,0.02682426
17,1,0,0.633327,0.63332686,0.00371910,0.28520565,0.01321767,0.00448481,0.00538339,0.02722485,0.02743769
18,1,0,0.613023,0.61302258,0.00333474,0.30793620,0.01188539,0.00449941,0.00514696,0.02703285,0.02714187
19,1,0,0.540805,0.54080516,0.00294487,0.37525440,0.01036551,0.00439878,0.00529391,0.03339135,0.02754601
20,1,0,0.545633,0.54563334,0.00258266,0.37498339,0.00900583,0.00406537,0.00480932,0.03362462,0.02529547
21,1,0,0.593505,0.59350482,0.00264058,0.32838354,0.00964690,0.00413658,0.00449270,0.03045704,0.02673784
22,1,0,0.544752,0.54475205,0.00256617,0.37122209,0.00992657,0.00520342,0.00477952,0.03372654,0.02782364
23,1,0,0.532302,0.53230159,0.00285534,0.37698272,0.01390681,0.00626514,0.00461445,0.03066382,0.03241014
24,1,0,0.522333,0.52233340,0.00273495,0.38791322,0.01335886,0.00643163,0.00450529,0.03099667,0.03172598
25,1,0,0.488497,0.48849683,0.00246806,0.42963061,0.01253913,0.00637060,0.00413099,0.02796703,0.02839676
26,1,0,0.539430,0.53942985,0.00286797,0.37641594,0.01552370,0.00624053,0.00392948,0.02504929,0.03054324
27,1,0,0.573042,0.57304151,0.00321754,0.33637064,0.02025106,0.00662313,0.00394892,0.02358803,0.03295916
28,1,0,0.601983,0.60198339,0.00346375,0.30592697,0.02295748,0.00677119,0.00392006,0.02345157,0.03152560
29,1,0,0.621421,0.62142087,0.00414400,0.27000235,0.03282585,0.00844796,0.00501376,0.02615094,0.03199426
30,1,0,0.589714,0.58971375,0.00410016,0.30137428,0.03101656,0.00881618,0.00559146,0.02820809,0.03117952
31,1,0,0.607365,0.60736515,0.00476380,0.27738367,0.03173709,0.00871757,0.00574537,0.02772055,0.03656679
32,1,0,0.615682,0.61568177,0.00570929,0.25836934,0.03598199,0.00946770,0.00614322,0.02692046,0.04172623
33,1,0,0.613682,0.61368153,0.00756710,0.24459042,0.04162008,0.00969893,0.00670955,0.02550193,0.05063049
34,1,0,0.541002,0.54100182,0.00749961,0.31547763,0.03710852,0.00938289,0.00695744,0.02653253,0.05603957
35,1,0,0.565461,0.56546063,0.00824635,0.29188330,0.03757839,0.00937317,0.00704376,0.02449366,0.05592075
36,1,0,0.568645,0.56864487,0.00903670,0.28739840,0.03811821,0.00949581,0.00753728,0.02410382,0.05566491
37,1,0,0.531270,0.53126953,0.00820414,0.33679797,0.03633318,0.00956994,0.00705478,0.02235075,0.04841971
38,1,0,0.543601,0.54360114,0.00765855,0.32814256,0.03238797,0.00858429,0.00650269,0.02268135,0.05044145
39,1,0,0.525690,0.52569036,0.00766622,0.34571200,0.03122737,0.00841266,0.00645674,0.02130763,0.05352703
40,1,0,0.556886,0.55688576,0.00754845,0.31711698,0.02816007,0.00748858,0.00602544,0.02017098,0.05660374
41,1,0,0.489969,0.48996886,0.00643018,0.39763080,0.02443084,0.00729796,0.00577561,0.02021784,0.04824791
42,1,0,0.469009,0.43174426,0.00542532,0.46900901,0.02074184,0.00693440,0.00548317,0.01970382,0.04095817
43,1,2,0.504029,0.40522249,0.00477746,0.50402943,0.01935172,0.00697491,0.00540543,0.01933065,0.03490790
44,1,2,0.525963,0.38757805,0.00432031,0.52596307,0.01840972,0.00740238,0.00537395,0.01987791,0.03107460
45,1,2,0.525028,0.38942140,0.00415245,0.52502808,0.01803063,0.00776017,0.00571324,0.02148312,0.02841090
46,1,2,0.516177,0.39488404,0.00427493,0.51617660,0.01766658,0.00810325,0.00662042,0.02364651,0.02862767
47,1,2,0.487967,0.41207376,0.00542064,0.48796744,0.02369875,0.00936765,0.00760239,0.02351978,0.03034958
48,1,2,0.500730,0.40742504,0.00480950,0.50072954,0.02143311,0.00865495,0.00718867,0.02180780,0.02795139
49,1,2,0.490417,0.41402012,0.00488634,0.49041743,0.02185815,0.00865049,0.00754668,0.02386005,0.02876074
50,1,2,0.503021,0.40058999,0.00470851,0.50302142,0.02027724,0.00860015,0.00760763,0.02583170,0.02936336
51,1,2,0.492282,0.41022912,0.00522838,0.49228236,0.02052168,0.00837072,0.00780708,0.02455914,0.03100152
52,1,2,0.474475,0.42788606,0.00519268,0.47447540,0.01945858,0.00789163,0.00825019,0.02609895,0.03074651
53,1,2,0.537349,0.37079933,0.00460631,0.53734930,0.01628191,0.00693282,0.00870062,0.02639121,0.02893849
54,1,2,0.615671,0.30373729,0.00392948,0.61567056,0.01333278,0.00595543,0.00806965,0.02376605,0.02553877
55,1,2,0.680296,0.24612055,0.00335357,0.68029565,0.01085589,0.00516140,0.00854576,0.02297959,0.02268759
56,1,2,0.735437,0.19996959,0.00285070,0.73543708,0.00888772,0.00447814,0.00807506,0.02091109,0.01939062
57,1,2,0.778066,0.16394812,0.00244551,0.77806568,0.00727803,0.00392988,0.00745755,0.01955778,0.01731745
58,1,2,0.801581,0.14161802,0.00223236,0.80158089,0.00616704,0.00366132,0.00788605,0.02022282,0.01663148
59,1,2,0.800121,0.14205954,0.00210995,0.80012105,0.00549985,0.00349886,0.00762724,0.02180397,0.01727954
60,1,2,0.769418,0.16675651,0.00263214,0.76941814,0.00518646,0.00324758,0.00841497,0.02372906,0.02061514
61,1,2,0.784766,0.14776656,0.00257375,0.78476601,0.00467334,0.00315881,0.00867891,0.02662498,0.02175764
62,1,2,0.775577,0.15626649,0.00258128,0.77557710,0.00455222,0.00302134,0.00867520,0.02798330,0.02134308
63,1,2,0.785055,0.14478249,0.00256794,0.78505463,0.00455095,0.00316805,0.00893138,0.03002637,0.02091818
64,1,2,0.795645,0.13629798,0.00251753,0.79564460,0.00442220,0.00317023,0.00872008,0.02931306,0.01991432
65,1,2,0.747909,0.17828072,0.00301401,0.74790942,0.00571386,0.00348930,0.00915618,0.03097343,0.02146309
66,1,2,0.696485,0.22851067,0.00321133,0.69648515,0.00623950,0.00344805,0.00917143,0.03118547,0.02174839
67,1,2,0.653184,0.26621829,0.00345620,0.65318423,0.00692120,0.00371292,0.00941530,0.03472554,0.02236632
68,1,2,0.634421,0.28617070,0.00348130,0.63442117,0.00673355,0.00355903,0.00927374,0.03475981,0.02160071
69,1,2,0.589901,0.32470356,0.00426282,0.58990052,0.00822107,0.00389635,0.00976988,0.03437063,0.02487518
