frame,face_detected,label,confidence,p0,p1,p2,p3,p4,p5,p6,p7
0,1,0,0.602824,0.60282421,0.00874292,0.25959861,0.04033727,0.01256326,0.00737485,0.03172067,0.03683821
1,1,0,0.618118,0.61811770,0.00910467,0.23886667,0.04342875,0.01260095,0.00726095,0.03012205,0.04049826
2,1,0,0.632689,0.63268901,0.01056766,0.20262659,0.04231180,0.01058593,0.00653897,0.02613674,0.06854330
3,1,0,0.633737,0.63373699,0.01179423,0.18617124,0.06092054,0.01172151,0.00697493,0.02453429,0.06414628
4,1,0,0.644321,0.64432083,0.01385425,0.16853946,0.06571390,0.01160049,0.00769877,0.02366889,0.06460342
5,1,0,0.642702,0.64270235,0.01216152,0.18648415,0.06002907,0.01112489,0.00730693,0.02401248,0.05617862
6,1,0,0.629106,0.62910600,0.01277230,0.18833040,0.06437092,0.01253660,0.00799291,0.02728156,0.05760932
7,1,0,0.641402,0.64140164,0.01301262,0.17937448,0.06359898,0.01184398,0.00766931,0.02619546,0.05690353
8,1,0,0.611498,0.61149756,0.01195257,0.21841196,0.05873502,0.01231911,0.00768645,0.02754170,0.05185563
9,1,0,0.603331,0.60333092,0.01106192,0.23707805,0.05491385,0.01264628,0.00758970,0.02631654,0.04706275
10,1,0,0.628431,0.62843149,0.01085416,0.22357566,0.04729600,0.01131488,0.00750597,0.02570572,0.04531612
11,1,0,0.654117,0.65411700,0.01140095,0.19521773,0.04607846,0.01030971,0.00685068,0.02393876,0.05208672
12,1,0,0.666434,0.66643417,0.01236721,0.17724263,0.04507124,0.00962866,0.00655929,0.02346067,0.05923614
13,1,0,0.676135,0.67613520,0.01150266,0.18070605,0.03931248,0.00875972,0.00609697,0.02215946,0.05532747
14,1,0,0.666066,0.66606577,0.01170027,0.19205567,0.03919685,0.00962939,0.00642687,0.02314413,0.05178104
15,1,0,0.683141,0.68314132,0.01237922,0.17066579,0.03785717,0.00870750,0.00612498,0.02333264,0.05779139
16,1,0,0.669005,0.66900461,0.01260197,0.18658390,0.03710340,0.00924785,0.00625406,0.02312767,0.05607654
17,1,0,0.681613,0.68161288,0.01351310,0.17345916,0.03437502,0.00835991,0.00599987,0.02260171,0.06007834
18,1,0,0.702094,0.70209357,0.01368420,0.15870243,0.03068978,0.00734859,0.00555650,0.02093510,0.06098983
19,1,0,0.702533,0.70253269,0.01277083,0.16595636,0.02676752,0.00651924,0.00516410,0.01944031,0.06084894
20,1,0,0.719447,0.71944750,0.01278856,0.15326612,0.02557428,0.00577002,0.00468489,0.01759009,0.06087856
21,1,0,0.704366,0.70436593,0.01332770,0.15959001,0.02442991,0.00586674,0.00487076,0.01934044,0.06820852
22,1,0,0.685248,0.68524813,0.01457090,0.16925944,0.02521279,0.00592866,0.00490812,0.01925285,0.07561911
23,1,0,0.680926,0.68092637,0.01588145,0.16110152,0.02433658,0.00547731,0.00502630,0.01985619,0.08739428
24,1,0,0.663622,0.66362180,0.01607122,0.17202763,0.02373105,0.00543979,0.00539702,0.02323705,0.09047445
25,1,0,0.673434,0.67343377,0.01557075,0.16727910,0.02389761,0.00525234,0.00528392,0.02364304,0.08563948
26,1,0,0.635619,0.63561854,0.01473613,0.21157369,0.02481065,0.00614771,0.00561422,0.02354296,0.07795610
27,1,0,0.651589,0.65158908,0.01497485,0.19072623,0.02393685,0.00556303,0.00542627,0.02349423,0.08428944
28,1,0,0.664578,0.66457828,0.01543810,0.17515452,0.02385949,0.00515883,0.00525888,0.02253488,0.08801700
29,1,0,0.667030,0.66703010,0.01478891,0.17538834,0.02416966,0.00508580,0.00546367,0.02419804,0.08387549
30,1,0,0.661636,0.66163584,0.01472548,0.17530627,0.02271570,0.00490241,0.00564394,0.02569225,0.08937811
31,1,0,0.674998,0.67499767,0.01464271,0.15836189,0.02122386,0.00440382,0.00538007,0.02409562,0.09689437
32,1,0,0.685889,0.68588853,0.01458755,0.15000334,0.02318445,0.00461637,0.00544512,0.02464683,0.09162782
33,1,0,0.678903,0.67890291,0.01514179,0.15495820,0.02647191,0.00520155,0.00604540,0.02583026,0.08744797
34,1,0,0.650970,0.65097000,0.01653237,0.18113156,0.02776220,0.00607476,0.00707526,0.02605692,0.08439694
35,1,0,0.644760,0.64475983,0.01588512,0.19623182,0.02783179,0.00640737,0.00691548,0.02505587,0.07691271
36,1,0,0.640254,0.64025437,0.01542975,0.20135416,0.02725068,0.00630612,0.00693375,0.02561672,0.07685445
37,1,0,0.662048,0.66204847,0.01594392,0.17169337,0.02894384,0.00557632,0.00618492,0.02281619,0.08679298
38,1,0,0.636671,0.63667150,0.01456648,0.20479386,0.02926801,0.00666261,0.00626867,0.02421457,0.07755429
39,1,0,0.633452,0.63345234,0.01509108,0.20574215,0.03280648,0.00690783,0.00620028,0.02319210,0.07660773
40,1,0,0.636027,0.63602659,0.01371758,0.21023901,0.03374892,0.00722547,0.00602597,0.02345518,0.06956127
41,1,0,0.657553,0.65755320,0.01297751,0.19274358,0.03129782,0.00639901,0.00570151,0.02342862,0.06989876
42,1,0,0.671573,0.67157291,0.01250955,0.18302061,0.03384955,0.00680941,0.00611667,0.02303624,0.06308505
43,1,0,0.681477,0.68147674,0.01216566,0.17902958,0.03458428,0.00716646,0.00640518,0.02250509,0.05666702
44,1,0,0.672634,0.67263350,0.01133486,0.19565478,0.03286425,0.00741563,0.00638259,0.02209304,0.05162135
45,1,0,0.677014,0.67701380,0.01168303,0.18820459,0.03241987,0.00732874,0.00675205,0.02365849,0.05293943
46,1,0,0.664765,0.66476486,0.01163994,0.19897711,0.03297975,0.00737074,0.00699401,0.02428210,0.05299149
