frame,face_detected,label,confidence,p0,p1,p2,p3,p4,p5,p6,p7
0,1,0,0.682852,0.68285245,0.00134753,0.26354611,0.00694861,0.00366372,0.00331895,0.02482496,0.01349766
1,1,0,0.640217,0.64021719,0.00386987,0.27984229,0.01242968,0.00464967,0.00545194,0.02485549,0.02868408
2,1,0,0.710270,0.71026987,0.00260036,0.24692197,0.00360407,0.00167156,0.00412845,0.01440841,0.01639530
3,1,2,0.652606,0.26887330,0.00565530,0.65260649,0.00836123,0.00489186,0.00938223,0.02261048,0.02761928
4,1,2,0.681369,0.25382271,0.00329830,0.68136877,0.01056920,0.00629093,0.00793384,0.02242844,0.01428781
5,1,2,0.813578,0.14236160,0.00132012,0.81357837,0.00444207,0.00348101,0.00639791,0.01985585,0.00856313
6,1,2,0.828411,0.12644112,0.00121659,0.82841074,0.00459428,0.00401875,0.00471519,0.02082831,0.00977499
7,1,0,0.517150,0.51714963,0.00468385,0.39308718,0.01553988,0.00681534,0.00829098,0.03151341,0.02291963
8,1,2,0.508620,0.41493389,0.00302703,0.50861967,0.01207218,0.00615786,0.00697319,0.03025659,0.01795957
9,1,2,0.560592,0.37203583,0.00168783,0.56059158,0.00527252,0.00254232,0.00496713,0.03865226,0.01425055
10,1,0,0.583712,0.58371234,0.00547639,0.31307068,0.01259720,0.00493712,0.00738652,0.04297611,0.02984367
11,1,2,0.617340,0.32316476,0.00145197,0.61733997,0.00448096,0.00325792,0.00518163,0.03480629,0.01031639
12,1,0,0.595027,0.59502709,0.00499735,0.31295422,0.00791369,0.00384310,0.00636875,0.02887911,0.04001672
13,1,0,0.562403,0.56240261,0.00280811,0.34024847,0.01323517,0.00717476,0.00754302,0.03895995,0.02762802
14,1,0,0.784382,0.78438175,0.00370454,0.12792256,0.01521088,0.00434693,0.00493035,0.02933331,0.03016981
15,1,0,0.799643,0.79964250,0.00593902,0.10613235,0.02246672,0.00425493,0.00491977,0.01896897,0.03767567
16,1,0,0.696531,0.69653124,0.00405596,0.22209558,0.01986653,0.00511718,0.00416573,0.02222905,0.02593868
17,1,0,0.723613,0.72361302,0.00316643,0.20153709,0.00911650,0.00356156,0.00480205,0.02431195,0.02989139
18,1,0,0.531806,0.53180552,0.00179730,0.39885843,0.00655627,0.00455781,0.00420121,0.02626488,0.02595860
19,1,2,0.644527,0.25193548,0.00138536,0.64452720,0.00428602,0.00399629,0.00588173,0.05882536,0.02916256
20,1,0,0.564946,0.56494606,0.00113386,0.37389937,0.00356708,0.00273173,0.00287094,0.03455769,0.01629330
21,1,0,0.784991,0.78499079,0.00287227,0.14198418,0.01221121,0.00442140,0.00322622,0.01778673,0.03250733
22,1,2,0.542576,0.34974092,0.00226852,0.54257625,0.01104523,0.00947080,0.00592681,0.04680452,0.03216687
23,1,0,0.482500,0.48249978,0.00401199,0.40002525,0.02982777,0.01051200,0.00395419,0.01841294,0.05075610
24,1,0,0.482461,0.48246065,0.00225338,0.43163520,0.01116707,0.00709758,0.00406865,0.03232810,0.02898937
25,1,2,0.596500,0.35315055,0.00140052,0.59650022,0.00926019,0.00612650,0.00263378,0.01584847,0.01507985
26,1,0,0.743162,0.74316198,0.00446762,0.16355728,0.02746198,0.00572026,0.00312347,0.01337830,0.03912918
27,1,0,0.707488,0.70748812,0.00461580,0.17618944,0.03916053,0.00815354,0.00402666,0.01774302,0.04262283
28,1,0,0.717751,0.71775097,0.00444860,0.18415231,0.03378313,0.00736341,0.00380461,0.02290570,0.02579134
29,1,0,0.699171,0.69917083,0.00686499,0.12630390,0.07229934,0.01515506,0.00938854,0.03694845,0.03386894
30,1,0,0.462885,0.46288523,0.00392481,0.42686194,0.02377940,0.01028905,0.00790225,0.03643666,0.02792056
31,1,0,0.677971,0.67797071,0.00741836,0.18142127,0.03461922,0.00832314,0.00636105,0.02577041,0.05811584
32,1,0,0.648948,0.64894825,0.00949127,0.18231201,0.05296157,0.01246819,0.00773458,0.02372010,0.06236400
33,1,0,0.605681,0.60568058,0.01499831,0.18947472,0.06417243,0.01062385,0.00897488,0.01982779,0.08624750
34,1,2,0.599027,0.25028303,0.00722964,0.59902650,0.01906227,0.00811875,0.00794898,0.03065493,0.07767593
35,1,0,0.663296,0.66329581,0.01123333,0.19750595,0.03945787,0.00933431,0.00738906,0.01633819,0.05544543
36,1,0,0.581382,0.58138186,0.01219808,0.26945883,0.04027750,0.00998637,0.00951137,0.02254444,0.05464159
37,1,2,0.534396,0.38176823,0.00487391,0.53439629,0.02919305,0.00986646,0.00512478,0.01533850,0.01943889
38,1,0,0.592928,0.59292758,0.00547620,0.29352093,0.01660715,0.00464166,0.00429433,0.02400374,0.05852842
39,1,0,0.454047,0.45404723,0.00769690,0.41598973,0.02658495,0.00772617,0.00627291,0.01581275,0.06586935
40,1,0,0.681667,0.68166733,0.00707736,0.20273688,0.01589087,0.00379226,0.00430023,0.01562436,0.06891058
41,1,2,0.719686,0.22230127,0.00195711,0.71968609,0.00951392,0.00653547,0.00477631,0.02040529,0.01482458
42,1,2,0.754522,0.19884588,0.00140585,0.75452191,0.00598586,0.00548017,0.00431341,0.01764777,0.01179925
43,1,2,0.644111,0.29913545,0.00218603,0.64411110,0.01379125,0.00713695,0.00509449,0.01783794,0.01070682
44,1,2,0.613698,0.31700030,0.00249173,0.61369765,0.01464170,0.00911227,0.00524802,0.02206697,0.01574139
45,1,2,0.521288,0.39679477,0.00348102,0.52128810,0.01651428,0.00919134,0.00707042,0.02790395,0.01775611
46,1,2,0.480771,0.41673458,0.00476483,0.48077062,0.01621039,0.00947554,0.01024914,0.03230006,0.02949474
47,1,0,0.480833,0.48083270,0.01000347,0.37513089,0.04782743,0.01442523,0.01153028,0.02301288,0.03723723
48,1,2,0.551778,0.38883018,0.00236493,0.55177796,0.01237052,0.00580415,0.00553379,0.01495990,0.01835860
49,1,2,0.449169,0.44040045,0.00519371,0.44916904,0.02355835,0.00863265,0.00897869,0.03206902,0.03199816
50,1,2,0.553437,0.34686947,0.00399719,0.55343735,0.01395358,0.00839878,0.00785145,0.03371832,0.03177385
51,1,2,0.449326,0.44878563,0.00730786,0.44932610,0.02149944,0.00745301,0.00860489,0.01946890,0.03755415
52,1,0,0.498514,0.49851385,0.00504987,0.40324757,0.01520617,0.00597528,0.01002263,0.03225816,0.02972649
53,1,2,0.788845,0.14245239,0.00226082,0.78884494,0.00357523,0.00309759,0.01050234,0.02756029,0.02170642
54,1,2,0.928956,0.03548910,0.00122216,0.92895555,0.00153626,0.00204585,0.00554577,0.01326540,0.01193987
55,1,2,0.938796,0.01565361,0.00104992,0.93879598,0.00094836,0.00198530,0.01045021,0.01983373,0.01128285
56,1,2,0.956003,0.01536575,0.00083922,0.95600277,0.00101503,0.00174509,0.00619223,0.01263711,0.00620277
57,1,2,0.948580,0.01986220,0.00082476,0.94858003,0.00083929,0.00173685,0.00498752,0.01414453,0.00902478
58,1,2,0.895642,0.05229765,0.00137978,0.89564168,0.00172308,0.00258707,0.00960007,0.02288299,0.01388760
59,1,2,0.794282,0.14382561,0.00162029,0.79428160,0.00283107,0.00284903,0.00659199,0.02812856,0.01987176
60,1,2,0.646607,0.26554435,0.00472089,0.64660650,0.00393291,0.00224244,0.01156591,0.03142940,0.03395754
