frame,face_detected,label,confidence,p0,p1,p2,p3,p4,p5,p6,p7
0,1,0,0.527302,0.52730203,0.00736712,0.33821359,0.00764475,0.00470411,0.02764783,0.04411408,0.04300644
1,1,2,0.434840,0.39036131,0.00502385,0.43483955,0.00478786,0.00342967,0.05462357,0.07965755,0.02727656
2,1,0,0.459005,0.45900494,0.00721281,0.40552685,0.00675069,0.00511885,0.04093821,0.04247973,0.03296796
3,1,0,0.583466,0.58346581,0.00470466,0.34259763,0.00665022,0.00340104,0.01686970,0.01996867,0.02234227
4,1,2,0.450659,0.44156203,0.00614172,0.45065910,0.00932576,0.00586031,0.01829040,0.03661570,0.03154495
5,1,0,0.572159,0.57215941,0.01426586,0.23121704,0.01343709,0.00524879,0.04024233,0.04211394,0.08131561
6,1,0,0.715543,0.71554309,0.01229342,0.12751681,0.00987710,0.00346612,0.01933853,0.02121130,0.09075360
7,1,0,0.752851,0.75285065,0.00732631,0.15718660,0.00593496,0.00254725,0.01317485,0.02316143,0.03781801
8,1,0,0.744788,0.74478799,0.00799789,0.16363071,0.00885644,0.00333628,0.01347770,0.02252765,0.03538530
9,1,0,0.733510,0.73351026,0.00826078,0.16164173,0.00724307,0.00292129,0.01846101,0.01785258,0.05010917
10,1,0,0.563389,0.56338882,0.01129865,0.31944132,0.01030609,0.00445903,0.01803080,0.01586961,0.05720568
11,1,0,0.724005,0.72400522,0.01416320,0.13193448,0.00794628,0.00209563,0.02156409,0.01137329,0.08691796
12,1,0,0.665415,0.66541505,0.01550204,0.14525042,0.01148110,0.00360422,0.03324843,0.02649084,0.09900789
13,1,0,0.674669,0.67466921,0.01193439,0.17366613,0.00971116,0.00308013,0.01572885,0.01986288,0.09134734
14,1,0,0.699477,0.69947726,0.01309718,0.14411764,0.01338571,0.00368588,0.02665951,0.02966901,0.06990780
15,1,0,0.646698,0.64669776,0.01129728,0.23529118,0.01136996,0.00306819,0.02087514,0.02040259,0.05099792
16,1,0,0.791585,0.79158533,0.00608855,0.13234046,0.00625689,0.00146595,0.01003664,0.00950450,0.04272152
17,1,0,0.672153,0.67215335,0.00633825,0.24285841,0.00977372,0.00274015,0.02201126,0.01222391,0.03190096
18,1,0,0.741098,0.74109757,0.00545806,0.18167587,0.00777507,0.00201724,0.01507363,0.01376325,0.03313917
19,1,0,0.751175,0.75117493,0.00621490,0.16494018,0.00630537,0.00183250,0.01553211,0.00803810,0.04596194
20,1,0,0.844814,0.84481430,0.00880177,0.07698721,0.01353894,0.00216638,0.00872989,0.00635190,0.03860971
21,1,0,0.697832,0.69783157,0.00704974,0.23753725,0.00599024,0.00205426,0.00980862,0.00947216,0.03025612
22,1,0,0.750594,0.75059366,0.01160433,0.14079930,0.00753461,0.00173941,0.00981254,0.00986631,0.06804959
23,1,0,0.795458,0.79545778,0.00688739,0.11117849,0.00700580,0.00190560,0.00920106,0.01391120,0.05445266
24,1,0,0.807257,0.80725712,0.01122083,0.09382831,0.01143539,0.00234928,0.01192545,0.00933417,0.05264954
25,1,0,0.824445,0.82444507,0.00766947,0.10150369,0.01291347,0.00258025,0.00893378,0.00806062,0.03389354
26,1,0,0.755158,0.75515825,0.00491673,0.16907595,0.00989854,0.00348542,0.00997873,0.01938810,0.02809836
27,1,0,0.625988,0.62598807,0.02002044,0.22534573,0.01509328,0.00489675,0.03800855,0.01867216,0.05197505
28,1,0,0.731467,0.73146689,0.01600319,0.12516528,0.00982828,0.00289309,0.02901293,0.01843332,0.06719696
29,1,0,0.711035,0.71103507,0.01492499,0.13941914,0.01012313,0.00326102,0.01757063,0.01633428,0.08733170
30,1,0,0.595400,0.59539962,0.02176349,0.25535056,0.01002934,0.00364914,0.02518484,0.01528149,0.07334138
31,1,0,0.709823,0.70982265,0.00997594,0.19631796,0.00707596,0.00215540,0.02324554,0.01309012,0.03831635
32,1,0,0.645010,0.64500982,0.00966642,0.19357313,0.00722098,0.00302272,0.02898248,0.02598064,0.08654369
