frame,face_detected,label,confidence,p0,p1,p2,p3,p4,p5,p6,p7
0,1,1,0.488377,0.03225410,0.48837715,0.02835163,0.00776473,0.00117778,0.00897538,0.00222090,0.43087831
1,1,1,0.502193,0.02873755,0.50219321,0.01898867,0.01077957,0.00095658,0.00955870,0.00170854,0.42707717
2,1,1,0.604351,0.02826105,0.60435128,0.02286215,0.00803078,0.00104240,0.00933976,0.00246225,0.32365030
3,1,1,0.530753,0.02934442,0.53075325,0.02167273,0.01176089,0.00118108,0.01027834,0.00219775,0.39281157
4,1,7,0.544624,0.02081823,0.40973958,0.00957526,0.00830398,0.00057066,0.00529570,0.00107268,0.54462385
5,1,1,0.563328,0.02269339,0.56332821,0.01011461,0.01194399,0.00074725,0.00423338,0.00116472,0.38577443
6,1,7,0.511017,0.02421448,0.43751150,0.00975754,0.01106930,0.00068203,0.00472253,0.00102598,0.51101667
7,1,7,0.612682,0.02405502,0.30789506,0.03305225,0.00638931,0.00118252,0.01203299,0.00271072,0.61268210
8,1,7,0.609215,0.02974714,0.33043501,0.01869354,0.00487046,0.00053754,0.00516194,0.00133970,0.60921466
9,1,7,0.590092,0.03800096,0.30746704,0.04666637,0.00651107,0.00109439,0.00793256,0.00223607,0.59009153
10,1,7,0.630647,0.05110722,0.23187369,0.05678081,0.00950140,0.00182321,0.01524199,0.00302452,0.63064718
11,1,7,0.670657,0.06436429,0.21707819,0.02466258,0.00900141,0.00100181,0.01062839,0.00260607,0.67065728
12,1,7,0.578533,0.06287868,0.32160518,0.01731658,0.01112909,0.00089681,0.00563360,0.00200760,0.57853252
13,1,1,0.468381,0.04060061,0.46838140,0.02225344,0.00924510,0.00100633,0.00986394,0.00185264,0.44679651
14,1,1,0.565201,0.02546144,0.56520069,0.01308038,0.00915125,0.00087255,0.00678125,0.00153387,0.37791860
15,1,7,0.604239,0.03249775,0.31316894,0.03196853,0.00623378,0.00112593,0.00837878,0.00238712,0.60423917
16,1,1,0.589965,0.02055644,0.58996534,0.00946720,0.01073869,0.00081671,0.00924049,0.00149041,0.35772476
17,1,1,0.787656,0.01692122,0.78765619,0.05305804,0.01449636,0.00571687,0.02423875,0.00286491,0.09504767
18,1,1,0.861208,0.01111966,0.86120832,0.03850769,0.01377378,0.00526871,0.01579796,0.00250491,0.05181891
19,1,1,0.883907,0.00992322,0.88390660,0.02580793,0.01724468,0.00507414,0.01642418,0.00204324,0.03957596
20,1,1,0.916855,0.00574887,0.91685450,0.01339459,0.01223445,0.00231038,0.00836533,0.00100482,0.04008714
21,1,1,0.899624,0.00625925,0.89962381,0.02252392,0.01455584,0.00412015,0.01405655,0.00242432,0.03643606
22,1,1,0.951092,0.00301591,0.95109236,0.00746207,0.00599616,0.00107055,0.00430918,0.00058965,0.02646410
23,1,1,0.905821,0.00547605,0.90582108,0.01458296,0.00916278,0.00229950,0.01201794,0.00137634,0.04926350
