frame,face_detected,label,confidence,p0,p1,p2,p3,p4,p5,p6,p7
0,1,0,0.637427,0.63742656,0.01357343,0.23403852,0.00607542,0.00207278,0.04542344,0.02041590,0.04097394
1,1,0,0.814314,0.81431442,0.01447299,0.08205397,0.00403237,0.00110524,0.02554984,0.01132375,0.04714730
2,1,0,0.744313,0.74431270,0.00922864,0.15922047,0.00319694,0.00107255,0.03064707,0.01743551,0.03488623
3,1,0,0.689619,0.68961906,0.00905506,0.21079403,0.00603596,0.00224418,0.02113602,0.01876359,0.04235203
4,1,0,0.710678,0.71067762,0.01471870,0.17215264,0.00411351,0.00128885,0.03069274,0.01670888,0.04964710
5,1,0,0.737127,0.73712683,0.01108002,0.16794567,0.00358456,0.00089800,0.01643441,0.00913442,0.05379605
6,1,0,0.718647,0.71864688,0.01431008,0.14498380,0.00551559,0.00164462,0.02215878,0.01901423,0.07372606
7,1,0,0.754173,0.75417262,0.01183147,0.14284366,0.00673490,0.00190993,0.01375782,0.01480736,0.05394221
8,1,0,0.730441,0.73044086,0.02263319,0.10783563,0.00827373,0.00180848,0.02383844,0.01580653,0.08936303
9,1,0,0.675707,0.67570662,0.01660431,0.10742538,0.01032520,0.00205804,0.03448480,0.02014105,0.13325456
10,1,0,0.653307,0.65330738,0.00916436,0.18979713,0.00511007,0.00173108,0.03047928,0.04197793,0.06843283
11,1,0,0.805510,0.80550992,0.01322108,0.06624064,0.00545530,0.00095253,0.01107641,0.01103519,0.08650885
12,1,0,0.654535,0.65453511,0.01116079,0.22382428,0.00417860,0.00157882,0.02010749,0.01974781,0.06486709
13,1,0,0.745306,0.74530572,0.01319801,0.12535088,0.00531010,0.00151886,0.01098997,0.01418383,0.08414251
14,1,0,0.469742,0.46974161,0.00677219,0.41522843,0.00550915,0.00301881,0.01582606,0.03672685,0.04717688
15,1,0,0.566947,0.56694746,0.00862131,0.31007203,0.00555268,0.00306582,0.01584305,0.02955715,0.06034049
16,1,0,0.802799,0.80279934,0.01152391,0.07756336,0.00458959,0.00123455,0.00966557,0.00985783,0.08276579
17,1,0,0.475761,0.47576147,0.01173737,0.31233075,0.00522059,0.00348229,0.04149059,0.05505024,0.09492666
18,1,0,0.871226,0.87122649,0.00725779,0.03717958,0.00341069,0.00056358,0.00800187,0.00928735,0.06307263
19,1,0,0.889494,0.88949388,0.00600459,0.05276515,0.00261135,0.00061707,0.01349293,0.00899360,0.02602136
20,1,0,0.879412,0.87941206,0.00781852,0.04422238,0.00504619,0.00089661,0.01704265,0.00653066,0.03903089
21,1,0,0.656598,0.65659839,0.00827477,0.21001111,0.00534319,0.00235764,0.02866120,0.02893313,0.05982059
22,1,0,0.779827,0.77982730,0.01074121,0.11429008,0.00365094,0.00099241,0.01330437,0.01361579,0.06357799
23,1,0,0.812424,0.81242436,0.00760505,0.12747754,0.00252732,0.00060250,0.01107620,0.00701774,0.03126934
24,1,0,0.798590,0.79858977,0.00782948,0.11741878,0.00322781,0.00089305,0.01224901,0.01080513,0.04898695
25,1,0,0.759522,0.75952226,0.00844119,0.14645042,0.00310936,0.00089312,0.01321582,0.01222650,0.05614133
26,1,0,0.720634,0.72063369,0.00556340,0.19527556,0.00322350,0.00122194,0.01488478,0.01614008,0.04305706
27,1,0,0.641004,0.64100409,0.01167149,0.20031606,0.00711590,0.00297780,0.04081463,0.04048066,0.05561934
28,1,0,0.678337,0.67833716,0.02023664,0.15200555,0.00901081,0.00307654,0.02948282,0.02716754,0.08068296
29,1,0,0.603576,0.60357559,0.01412862,0.23403662,0.00992449,0.00502175,0.03770922,0.04417704,0.05142665
30,1,0,0.786078,0.78607816,0.00833905,0.11844057,0.00673753,0.00204672,0.01526560,0.01917899,0.04391337
31,1,0,0.800001,0.80000061,0.00969049,0.11484219,0.00614823,0.00181873,0.01484768,0.01518047,0.03747156
32,1,0,0.753642,0.75364202,0.00733404,0.13465382,0.00496227,0.00177365,0.01612930,0.03026452,0.05124046
33,1,0,0.504993,0.50499260,0.01577189,0.33813629,0.00788668,0.00398551,0.03093396,0.03681718,0.06147594
34,1,0,0.724005,0.72400540,0.00969228,0.14398445,0.00716719,0.00221296,0.01927500,0.03171207,0.06195070
35,1,0,0.681188,0.68118781,0.01887533,0.10020936,0.00929462,0.00199744,0.02710789,0.02040539,0.14092207
36,1,0,0.801521,0.80152106,0.00717640,0.09912060,0.00541572,0.00155930,0.00752834,0.01708259,0.06059610
37,1,0,0.748196,0.74819618,0.00682683,0.16074595,0.00450696,0.00150647,0.01775434,0.01938673,0.04107655
38,1,0,0.420240,0.42023996,0.01188028,0.39188266,0.01059638,0.00584433,0.05503550,0.06025594,0.04426492
39,1,0,0.763740,0.76373982,0.00816882,0.10693367,0.00637322,0.00164073,0.01894167,0.02725464,0.06694742
40,1,0,0.477585,0.47758523,0.00399290,0.39089784,0.00520969,0.00276670,0.01490496,0.06306574,0.04157696
41,1,0,0.722595,0.72259468,0.00565576,0.16668373,0.00502586,0.00160250,0.01325188,0.03036650,0.05481917
42,1,0,0.786186,0.78618640,0.00736792,0.10295546,0.00726290,0.00197642,0.00857616,0.01721099,0.06846378
43,1,0,0.521619,0.52161890,0.00353957,0.36970115,0.00385771,0.00227213,0.01837741,0.04421027,0.03642288
44,1,0,0.526815,0.52681488,0.00479244,0.35499904,0.00376047,0.00215590,0.01432049,0.04133483,0.05182188
45,1,0,0.689027,0.68902665,0.00449587,0.19416720,0.00432514,0.00155263,0.01295338,0.03477215,0.05870700
46,1,0,0.498839,0.49883869,0.00400809,0.38235417,0.00516984,0.00316473,0.02114110,0.05184424,0.03347921
47,1,0,0.449413,0.44941270,0.00493475,0.42751837,0.00684687,0.00329671,0.02036864,0.04837371,0.03924826
48,1,0,0.665584,0.66558355,0.00347996,0.25228649,0.00359449,0.00206281,0.01200373,0.03192510,0.02906387
49,1,0,0.499988,0.49998808,0.00815679,0.37178275,0.00529500,0.00217157,0.03246001,0.02089793,0.05924775
50,1,2,0.604239,0.28282648,0.00482232,0.60423923,0.00358916,0.00207982,0.03251315,0.03391035,0.03601945
51,1,2,0.507825,0.39606997,0.00394246,0.50782520,0.00417233,0.00239403,0.02641300,0.03368201,0.02550104
52,1,0,0.554701,0.55470079,0.00406154,0.33254129,0.00380466,0.00192685,0.02640666,0.04285348,0.03370476
53,1,0,0.775532,0.77553236,0.00632494,0.13797173,0.00594873,0.00194889,0.00935134,0.01734954,0.04557244
