frame,face_detected,label,confidence,p0,p1,p2,p3,p4,p5,p6,p7
0,1,0,0.548629,0.54862899,0.06579678,0.07402338,0.08561952,0.01714442,0.08781551,0.02759399,0.09337740
1,1,0,0.554973,0.55497306,0.06051571,0.08068046,0.08079162,0.01761027,0.09000046,0.02988871,0.08553972
2,1,0,0.532624,0.53262408,0.05891722,0.08911203,0.08651486,0.01922112,0.10084241,0.03266712,0.08010117
3,1,0,0.522533,0.52253259,0.05278855,0.11761226,0.07792763,0.01884168,0.10344626,0.03537577,0.07147525
4,1,0,0.533670,0.53366994,0.04598394,0.13185402,0.06920378,0.01755878,0.09982683,0.03674950,0.06515320
5,1,0,0.510597,0.51059739,0.04138389,0.15875666,0.06546135,0.01916116,0.11063353,0.03662757,0.05737845
6,1,0,0.517367,0.51736652,0.03769060,0.15725108,0.06064091,0.01834681,0.11585084,0.03947005,0.05338318
7,1,0,0.485264,0.48526422,0.03426644,0.19740541,0.05331616,0.01837129,0.12111025,0.04130734,0.04895889
8,1,0,0.486579,0.48657873,0.03441970,0.19286179,0.05298244,0.01899442,0.12617065,0.04074900,0.04724328
9,1,0,0.493560,0.49356033,0.03425336,0.18665712,0.05251197,0.01920907,0.12637768,0.04091056,0.04651993
10,1,0,0.506042,0.50604230,0.03410517,0.17497856,0.05599124,0.01957203,0.11875173,0.04368732,0.04687164
11,1,0,0.521908,0.52190805,0.03147859,0.17584577,0.05168624,0.01839110,0.11654517,0.04048735,0.04365771
12,1,0,0.475110,0.47510953,0.03102384,0.21734262,0.04832278,0.01883904,0.12600708,0.04044981,0.04290530
13,1,0,0.481069,0.48106916,0.03057984,0.21337841,0.04864619,0.01965002,0.12374161,0.04136405,0.04157070
14,1,0,0.459388,0.45938847,0.03268324,0.22031598,0.05036412,0.02026323,0.12808406,0.04221768,0.04668322
15,1,0,0.446441,0.44644118,0.03763051,0.21401320,0.05419604,0.02377656,0.13108225,0.04287905,0.04998120
16,1,0,0.444303,0.44430289,0.03636569,0.22380585,0.05285953,0.02429316,0.12700894,0.04226297,0.04910096
17,1,0,0.446883,0.44688258,0.03335780,0.22587029,0.05602949,0.02512422,0.12310192,0.04492670,0.04470699
18,1,0,0.461115,0.46111509,0.03533818,0.20694510,0.06083638,0.02521355,0.12104013,0.04452152,0.04499005
19,1,0,0.476885,0.47688531,0.03446870,0.19267294,0.06086657,0.02314018,0.12337977,0.04360786,0.04497867
20,1,0,0.425542,0.42554166,0.03319169,0.21545363,0.05595303,0.02389431,0.16001611,0.04327225,0.04267733
21,1,0,0.386945,0.38694470,0.03057178,0.25154608,0.05045334,0.02364395,0.17143592,0.04524143,0.04016280
22,1,0,0.411159,0.41115878,0.03142757,0.23462563,0.05400642,0.02305873,0.15634256,0.04657173,0.04280858
23,1,0,0.406617,0.40661717,0.03257079,0.22456407,0.05978491,0.02435920,0.16276773,0.04599987,0.04333625
24,1,0,0.401844,0.40184409,0.03852667,0.20474903,0.06531061,0.02745429,0.16652950,0.04864891,0.04693691
25,1,0,0.395869,0.39586926,0.03436391,0.22558803,0.06597841,0.02594692,0.16440951,0.04657602,0.04126795
26,1,0,0.402151,0.40215108,0.03522797,0.19967490,0.08179000,0.02588331,0.16989889,0.04527657,0.04009729
27,1,0,0.415358,0.41535799,0.03224163,0.17999482,0.07649672,0.02274703,0.19506173,0.04197205,0.03612802
28,1,0,0.389110,0.38910987,0.03535665,0.16467008,0.07373003,0.02296826,0.23213383,0.04408711,0.03794416
29,1,0,0.395234,0.39523427,0.03119594,0.17887818,0.07028489,0.02217624,0.22285604,0.04482078,0.03455367
30,1,0,0.373456,0.37345566,0.03129545,0.19837511,0.06223356,0.02081434,0.23274708,0.04462871,0.03645010
