frame,face_detected,label,confidence,p0,p1,p2,p3,p4,p5,p6,p7
53,1,0,0.753296,0.75329601,0.00912782,0.07837752,0.01271046,0.00166321,0.01350124,0.00931541,0.12200834
54,1,0,0.774956,0.77495647,0.00829605,0.07187401,0.01331441,0.00159169,0.01218167,0.00889998,0.10888572
55,1,0,0.772927,0.77292745,0.00849034,0.06324470,0.01377985,0.00152447,0.01178408,0.00853200,0.11971712
56,1,0,0.780809,0.78080855,0.00892871,0.06249520,0.01403052,0.00159469,0.01204179,0.00810789,0.11199265
57,1,0,0.788311,0.78831144,0.00910911,0.05863780,0.01666531,0.00182278,0.01156110,0.00771019,0.10618227
58,1,0,0.769403,0.76940336,0.01092422,0.05014812,0.02661244,0.00226942,0.01218290,0.00786576,0.12059379
59,1,0,0.771684,0.77168385,0.01256214,0.04835043,0.02694074,0.00234376,0.01245456,0.00755467,0.11810984
60,1,0,0.744006,0.74400628,0.01436187,0.04928969,0.02526950,0.00232126,0.01328310,0.00720400,0.14426430
61,1,0,0.756302,0.75630198,0.01323768,0.04864949,0.02436863,0.00231012,0.01204949,0.00715123,0.13593138
62,1,0,0.766183,0.76618288,0.01178220,0.05262436,0.02211321,0.00229026,0.01177738,0.00779063,0.12543907
63,1,0,0.776102,0.77610241,0.01118586,0.05061076,0.02008541,0.00202608,0.01135953,0.00708612,0.12154383
64,1,0,0.785249,0.78524880,0.00983455,0.05711019,0.01904312,0.00216700,0.01054048,0.00745648,0.10859938
65,1,0,0.783529,0.78352950,0.00918360,0.05714253,0.02006334,0.00233158,0.01039697,0.00799484,0.10935764
66,1,0,0.793181,0.79318135,0.00866329,0.05020044,0.02341989,0.00214808,0.01022189,0.00734686,0.10481820
67,1,0,0.802815,0.80281545,0.00851404,0.04589774,0.02436380,0.00202841,0.00984539,0.00729821,0.09923696
68,1,0,0.808674,0.80867386,0.00881047,0.04051255,0.02361823,0.00193992,0.00869970,0.00655058,0.10119468
69,1,0,0.798464,0.79846425,0.00883190,0.03584558,0.02491408,0.00185421,0.00837762,0.00643967,0.11527271
70,1,0,0.811219,0.81121890,0.00777712,0.03588524,0.02140573,0.00166094,0.00765555,0.00617845,0.10821807
71,1,0,0.823249,0.82324907,0.00735765,0.03244924,0.02165427,0.00169523,0.00776522,0.00633781,0.09949151
72,1,0,0.824624,0.82462419,0.00720716,0.03398607,0.02128558,0.00176763,0.00826866,0.00753327,0.09532745
73,1,0,0.820399,0.82039936,0.00689958,0.03688264,0.02026943,0.00179499,0.00795668,0.00762599,0.09817134
74,1,0,0.819574,0.81957426,0.00659206,0.03760386,0.01933959,0.00171861,0.00924528,0.00793334,0.09799300
75,1,0,0.820639,0.82063853,0.00650682,0.04053558,0.01758709,0.00163905,0.00900447,0.00808800,0.09600045
76,1,0,0.832417,0.83241742,0.00581687,0.04210994,0.01725597,0.00156323,0.00799941,0.00821002,0.08462715
77,1,0,0.834887,0.83488692,0.00551688,0.04372171,0.01572025,0.00147177,0.00796428,0.00857754,0.08214065
78,1,0,0.825051,0.82505056,0.00642997,0.04433960,0.01703205,0.00168363,0.00902499,0.00909930,0.08733989
79,1,0,0.822438,0.82243793,0.00669240,0.04756238,0.01588460,0.00173000,0.01001970,0.01047309,0.08519990
80,1,0,0.793087,0.79308740,0.00725533,0.06572575,0.01775888,0.00227098,0.01416199,0.01322180,0.08651788
81,1,0,0.808555,0.80855471,0.00677009,0.06379329,0.01634306,0.00202913,0.01271014,0.01229452,0.07750504
82,1,0,0.811923,0.81192336,0.00624666,0.06353005,0.01439745,0.00180802,0.01187126,0.01194633,0.07827687
83,1,0,0.818851,0.81885122,0.00611312,0.06176101,0.01427194,0.00186863,0.01148321,0.01179413,0.07385673
84,1,0,0.822156,0.82215641,0.00582400,0.06393432,0.01353860,0.00187137,0.01047776,0.01171366,0.07048389
85,1,0,0.810628,0.81062820,0.00734037,0.06217196,0.01579302,0.00202772,0.01218448,0.01137961,0.07847464
86,1,0,0.808844,0.80884428,0.00796164,0.05719238,0.01620738,0.00212443,0.01164824,0.01065145,0.08537020
87,1,0,0.790699,0.79069948,0.00870448,0.05621919,0.01750665,0.00242265,0.01376917,0.01223820,0.09844018
88,1,0,0.790743,0.79074304,0.00864541,0.05007376,0.01775050,0.00221431,0.01344788,0.01142349,0.10570161
89,1,0,0.788565,0.78856488,0.00910749,0.04960475,0.01859097,0.00236071,0.01370643,0.01171517,0.10634961
