frame,face_detected,label,confidence,p0,p1,p2,p3,p4,p5,p6,p7
0,1,0,0.527302,0.52730206,0.00736712,0.33821361,0.00764475,0.00470411,0.02764783,0.04411409,0.04300644
1,1,0,0.499914,0.49991391,0.00689846,0.35753880,0.00707337,0.00444922,0.03304298,0.05122278,0.03986046
2,1,0,0.491732,0.49173211,0.00696133,0.36713641,0.00700884,0.00458315,0.03462203,0.04947417,0.03848196
3,1,0,0.510079,0.51007885,0.00651000,0.36222865,0.00693711,0.00434673,0.03107156,0.04357307,0.03525402
4,1,0,0.496375,0.49637549,0.00643634,0.37991475,0.00741484,0.00464944,0.02851533,0.04218159,0.03451221
5,1,0,0.511532,0.51153227,0.00800225,0.35017520,0.00861929,0.00476931,0.03086073,0.04216806,0.04387289
6,1,0,0.552334,0.55233444,0.00886048,0.30564352,0.00887085,0.00450867,0.02855629,0.03797671,0.05324903
7,1,0,0.592438,0.59243767,0.00855365,0.27595213,0.00828367,0.00411639,0.02548000,0.03501365,0.05016283
8,1,0,0.622908,0.62290774,0.00844250,0.25348785,0.00839823,0.00396037,0.02307954,0.03251645,0.04720732
9,1,0,0.645028,0.64502826,0.00840615,0.23511863,0.00816720,0.00375255,0.02215583,0.02958368,0.04778769
10,1,0,0.628700,0.62870037,0.00898465,0.25198317,0.00859498,0.00389385,0.02133083,0.02684087,0.04967129
11,1,0,0.647761,0.64776132,0.01002036,0.22797342,0.00846524,0.00353420,0.02137748,0.02374735,0.05712062
12,1,0,0.651292,0.65129207,0.01111670,0.21142882,0.00906841,0.00354821,0.02375167,0.02429605,0.06549808
13,1,0,0.655967,0.65596748,0.01128024,0.20387628,0.00919696,0.00345459,0.02214710,0.02340941,0.07066793
14,1,0,0.664669,0.66466944,0.01164363,0.19192455,0.01003471,0.00350085,0.02304959,0.02466133,0.07051590
15,1,0,0.661075,0.66107510,0.01157436,0.20059788,0.01030176,0.00341432,0.02261470,0.02380958,0.06661230
16,1,0,0.687177,0.68717717,0.01047720,0.18694640,0.00949279,0.00302464,0.02009908,0.02094857,0.06183415
17,1,0,0.684172,0.68417240,0.00964941,0.19812880,0.00954897,0.00296775,0.02048152,0.01920364,0.05584751
18,1,0,0.695557,0.69555745,0.00881114,0.19483822,0.00919419,0.00277765,0.01939994,0.01811556,0.05130584
19,1,0,0.706681,0.70668095,0.00829189,0.18885861,0.00861643,0.00258862,0.01862638,0.01610007,0.05023706
20,1,0,0.734308,0.73430760,0.00839387,0.16648433,0.00960093,0.00250417,0.01664708,0.01415043,0.04791159
21,1,0,0.727012,0.72701240,0.00812504,0.18069491,0.00887879,0.00241419,0.01527939,0.01321478,0.04438050
22,1,0,0.731729,0.73172869,0.00882090,0.17271580,0.00860996,0.00227923,0.01418602,0.01254509,0.04911432
23,1,0,0.744475,0.74447451,0.00843420,0.16040834,0.00828913,0.00220451,0.01318903,0.01281831,0.05018199
24,1,0,0.757031,0.75703102,0.00899152,0.14709233,0.00891838,0.00223346,0.01293631,0.01212148,0.05067550
25,1,0,0.770514,0.77051385,0.00872711,0.13797460,0.00971740,0.00230282,0.01213581,0.01130931,0.04731911
26,1,0,0.767443,0.76744272,0.00796504,0.14419487,0.00975362,0.00253934,0.01170439,0.01292507,0.04347496
27,1,0,0.739152,0.73915178,0.01037612,0.16042504,0.01082155,0.00301082,0.01696522,0.01407449,0.04517497
28,1,0,0.737615,0.73761481,0.01150153,0.15337309,0.01062290,0.00298728,0.01937476,0.01494625,0.04957937
29,1,0,0.732299,0.73229887,0.01218622,0.15058230,0.01052295,0.00304202,0.01901394,0.01522386,0.05712984
30,1,0,0.704919,0.70491904,0.01410168,0.17153596,0.01042422,0.00316345,0.02024812,0.01523539,0.06037215
31,1,0,0.705900,0.70589977,0.01327653,0.17649236,0.00975457,0.00296184,0.02084760,0.01480633,0.05596099
32,1,0,0.693722,0.69372180,0.01255451,0.17990852,0.00924785,0.00297401,0.02247458,0.01704119,0.06207753
33,1,0,0.671159,0.67115940,0.01149996,0.20746646,0.00875949,0.00298897,0.02378118,0.01808505,0.05625949
34,1,0,0.681248,0.68124836,0.01063020,0.19831860,0.00830559,0.00282139,0.02386282,0.01975164,0.05506139
35,1,0,0.694009,0.69400864,0.00971948,0.18941443,0.00828628,0.00274664,0.02283633,0.02118296,0.05180525
36,1,0,0.726662,0.72666191,0.00958891,0.15993102,0.00775198,0.00239763,0.01956212,0.01856576,0.05554068
37,1,0,0.746487,0.74648726,0.01025812,0.14644366,0.00813279,0.00225612,0.01860027,0.01630229,0.05151949
38,1,0,0.759058,0.75905787,0.01128747,0.13170079,0.00884444,0.00219289,0.01676721,0.01454441,0.05560493
39,1,0,0.739774,0.73977426,0.01012622,0.15314207,0.00861980,0.00238053,0.01785264,0.01628871,0.05181576
40,1,0,0.711544,0.71154387,0.00997325,0.17743464,0.00829246,0.00258618,0.02085047,0.01806107,0.05125807
