frame,face_detected,label,confidence,p0,p1,p2,p3,p4,p5,p6,p7
0,1,0,0.838645,0.83864528,0.00259539,0.06306089,0.00587742,0.00163576,0.01075620,0.05147609,0.02595292
1,1,0,0.865340,0.86533988,0.00376452,0.06817374,0.00574306,0.00141990,0.00840237,0.02180775,0.02534876
2,1,0,0.716412,0.71641225,0.00455664,0.17828944,0.00763252,0.00275781,0.01651971,0.04074039,0.03309112
3,1,2,0.770746,0.13929777,0.00268933,0.77074635,0.00808039,0.00581083,0.02235567,0.04132382,0.00969585
4,1,2,0.709014,0.20444791,0.00253004,0.70901388,0.00561227,0.00374358,0.01258685,0.05022620,0.01183910
5,1,2,0.703249,0.20227844,0.00565092,0.70324922,0.01004736,0.00677721,0.02416710,0.02989280,0.01793692
6,1,2,0.662301,0.26123923,0.00306714,0.66230112,0.00653197,0.00545343,0.01959652,0.02887509,0.01293547
7,1,2,0.562131,0.38706833,0.00220901,0.56213123,0.00406547,0.00260564,0.01586369,0.01588258,0.01017405
8,1,2,0.508875,0.42536786,0.00401492,0.50887477,0.00797378,0.00296722,0.01167528,0.02055071,0.01857545
9,1,0,0.483757,0.48375651,0.00164814,0.47910362,0.00381470,0.00180438,0.00796253,0.01309263,0.00881763
10,1,0,0.819422,0.81942177,0.00419146,0.12052590,0.01133575,0.00190548,0.00618482,0.01556398,0.02087090
11,1,0,0.871611,0.87161070,0.00319887,0.08034030,0.00544343,0.00102674,0.00388612,0.00919348,0.02530036
12,1,0,0.752808,0.75280833,0.00879977,0.15027294,0.01030797,0.00269786,0.00751772,0.01924042,0.04835495
13,1,0,0.794335,0.79433459,0.00472338,0.13027243,0.00525517,0.00114520,0.00560616,0.01510199,0.04356119
14,1,0,0.794190,0.79418969,0.00805359,0.11388293,0.01424118,0.00347337,0.00853143,0.01520158,0.04242625
15,1,0,0.733581,0.73358113,0.00441595,0.20074296,0.00889772,0.00324225,0.00680760,0.01602786,0.02628446
16,1,0,0.863632,0.86363202,0.00399666,0.07079171,0.00975755,0.00239540,0.00486466,0.00955949,0.03500259
17,1,0,0.792361,0.79236126,0.00963899,0.11297838,0.01100864,0.00228568,0.00674059,0.01510421,0.04988214
18,1,0,0.857777,0.85777694,0.00537498,0.07748315,0.00401708,0.00094642,0.00391221,0.00835827,0.04213095
