frame,face_detected,label,confidence,p0,p1,p2,p3,p4,p5,p6,p7
53,1,0,0.689782,0.68978189,0.01102954,0.07003316,0.14758971,0.01213000,0.02690205,0.00715064,0.03538301
54,1,0,0.703122,0.70312213,0.00990462,0.06806106,0.14038124,0.01236848,0.02734446,0.00772937,0.03108863
55,1,0,0.720515,0.72051490,0.01048607,0.06188538,0.12905890,0.01240903,0.02730779,0.00747838,0.03085953
56,1,0,0.693613,0.69361268,0.01146219,0.05592567,0.15634280,0.01519367,0.03083066,0.00770345,0.02892888
57,1,0,0.666287,0.66628706,0.01351389,0.04759310,0.19009685,0.01472066,0.03111484,0.00763656,0.02903705
58,1,0,0.674304,0.67430372,0.01597884,0.04660889,0.17592124,0.01397060,0.03532733,0.00802980,0.02985958
59,1,0,0.646921,0.64692140,0.01762170,0.04093446,0.20897652,0.01416779,0.03362275,0.00736479,0.03039059
60,1,0,0.622010,0.62200969,0.01820248,0.03683514,0.23375332,0.01503635,0.03000772,0.00720152,0.03695379
61,1,0,0.610769,0.61076948,0.01878042,0.03527408,0.23970159,0.01857040,0.02886869,0.00754903,0.04048632
62,1,0,0.630876,0.63087607,0.01780392,0.03574942,0.21756024,0.01859151,0.02719992,0.00851845,0.04370048
63,1,0,0.645528,0.64552786,0.01929302,0.03222285,0.19832353,0.01734222,0.02633552,0.00851605,0.05243897
64,1,0,0.681401,0.68140139,0.01696195,0.03000997,0.17339013,0.01565256,0.02316342,0.00914491,0.05027569
65,1,0,0.724268,0.72426760,0.01482092,0.02703431,0.14519330,0.01362184,0.01986983,0.00853133,0.04666087
66,1,0,0.745562,0.74556216,0.01328664,0.02484708,0.12503921,0.01229249,0.01726172,0.00854774,0.05316296
67,1,0,0.775255,0.77525513,0.01167095,0.02343973,0.10446036,0.01074474,0.01507304,0.00856335,0.05079271
68,1,0,0.792237,0.79223671,0.01123377,0.02294906,0.08969404,0.00979202,0.01354674,0.00822878,0.05231887
69,1,0,0.809887,0.80988744,0.01020441,0.02252807,0.07497953,0.00874726,0.01195428,0.00849545,0.05320356
70,1,0,0.831997,0.83199681,0.00883272,0.02073796,0.06250352,0.00765510,0.01006578,0.00758846,0.05061966
71,1,0,0.840312,0.84031190,0.00887086,0.02061285,0.05395521,0.00693407,0.00899163,0.00724832,0.05307516
72,1,0,0.825661,0.82566081,0.00895524,0.02323901,0.05985925,0.00804078,0.00904017,0.00843258,0.05677217
73,1,0,0.828464,0.82846403,0.00883325,0.02117243,0.05491003,0.00724931,0.00799798,0.00764735,0.06372562
74,1,0,0.843690,0.84368971,0.00739379,0.02997506,0.04448365,0.00598039,0.00685780,0.00684371,0.05477589
75,1,0,0.705378,0.70537786,0.00643671,0.18265788,0.03643618,0.00538652,0.00944084,0.00817690,0.04608711
